Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
-1960,,Action,,,Dwarka Khosla,Prem Nath,Shakila,Pran
-1971,154 min,"Crime, Romance, Thriller",6.5,149,Amarjeet,Dev Anand,Zaheeda,Kishore Sahu
-1995,169 min,"Action, Comedy, Crime",5,356,Dayal Nihalani,Govinda,Shilpa Shetty Kundra,Aditya Pancholi
-1993,131 min,"Action, Crime, Drama",5.1,53,Anil Mattoo,Naseeruddin Shah,Aditya Pancholi,Rahul Roy
-2011,135 min,"Action, Crime, Drama",5.2,"2,175",Abhinay Deo,Abhishek Bachchan,Kangana Ranaut,Anupam Kher
-2007,146 min,"Action, Crime, Drama",5.3,25,Shivram Yadav,Sherlyn Chopra,Sameer Dharmadhikari,Prashant Narayanan
-2017,148 min,"Documentary, Drama",6.5,8,Sunil Singh,Arun Bakshi,Abhay Bhargava,Makrand Deshpande
-2017,140 min,Thriller,7.1,89,Paresh Vinodray Savani,Rima Mishra,Rajesh Sharma,Yashpal Sharma
-2013,,Animation,,,Rajiv Chilaka,,,
-2018,107 min,Drama,5.8,8,Sachin Agarwal,Ishteyak Arif,Deepans Garge,Ashraf Ul Haq
-2022,,Action,,,Vikas Bahl,Kriti Sanon,Tiger Shroff,
-2022,,Sport,,,Inam,Inam,Sanjana Prakash,
-1979,,"Action, Adventure, Fantasy",4.7,6,P.S. Prakash,B. Vittalacharya,Anita,Anuradha
-1982,191 min,"Biography, Drama, History",8,"220,118",Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi
-2012,90 min,"Crime, Drama, Thriller",,,Sunil Prem Vyas,Rajesh Mishra,Pooja Iyengar,Sangeeta Pant
-2011,108 min,"Drama, History, War",2.5,207,Rakesh Ranjan Kumar,Avijit Dutt,Raghuvir Yadav,Neha Dhupia
,,History,,,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,Rubika Liyaquat,
-2007,136 min,"Biography, Drama, History",7.3,"1,594",Feroz Abbas Khan,Akshaye Khanna,Darshan Jariwala,Shefali Shah
-2016,128 min,Drama,4.6,56,Sanoj Mishra,Sanoj R. Mishra,Sanjay Mishra,Rishi Bhutani
-2016,97 min,"Drama, History",7.6,29,Nilay Dave,Anil Pandey,Deepak Antani,Nilay Dave
-1986,137 min,"Comedy, Family, Romance",7.6,741,Sathyan Anthikad,Mohanlal,Karthika,Sreenivasan
-2008,185 min,"Documentary, Drama",8,6,David MacDougall,,,
-1973,,Drama,,,Jamuna,N.T. Rama Rao,,
-2000,152 min,"Action, Crime, Drama",6.1,225,Mazhar Khan,Jackie Shroff,Nana Patekar,Kumar Gaurav
-2014,128 min,"Comedy, Horror",3.6,376,Satish Kaushik,Sharman Joshi,Mahie Gill,Asrani
-2016,112 min,Drama,5.2,6,Vijay Kumar Mishra,Abhishek,Shehzad Khan,Viju Khote
-2006,102 min,"Action, Drama, Music",4.7,65,Abhishek Chhadha,Amitabh Bachchan,Hema Malini,Nagma
-1974,,Drama,,,Jagdev Bhambri,Abhi Bhattacharya,Som Dutt,Sona Mastan Mirza
-1986,,Romance,,,Raja Bagla,Raja Bagla,Urmila Bhatt,C.S. Dubey
-1979,,Action,,,M. Bahl,Anil Dhawan,Rakesh Roshan,Asha Singh
-1994,,Action,3.2,8,Joginder Shelly,Sahila Chaddha,Suresh Chatwal,Anita Chopra
-1980,157 min,Drama,6.4,17,A. Salaam,Sunil Dutt,Shashi Kapoor,Reena Roy
-1992,,"Action, Thriller",4.5,8,Kanti Shah,Firoz Irani,Jamuna,Goga Kapoor
-1979,,Adventure,,,T. Prakash Rao,Gummadi,,
-2000,,Action,,,Kishan Shah,Sapna Sappu,Amit Pachori,Ishrat Ali
-2012,,Drama,5.3,46,Abhishek Chhadha,Amitabh Bachchan,Jaya Bachchan,Vinay Bihari
-1980,138 min,Action,,,B.S. Thapa,Nameeta Chandra,Arun Govil,Shakti Kapoor
-2004,147 min,Drama,,,Mohanji Prasad,Chandni,Diveyaa Dwivedi,Ravi Kishan
-1991,,Action,5,16,Kanti Shah,Shagufta Ali,Charan Dev,Goga Kapoor
-1992,,Action,,,Gulshan Ashte,Avtar Gill,Gulshan Grover,Irshad Hashmi
-1978,,Drama,,,,,,
-1985,,Drama,,,Shashi Bakshi,Master Bhagwan,Bharat Bhushan,Satish Kaul
-1975,,"Action, Drama",,,Ranga B.S.,Master Bhagwan,Dev Dutt,Som Dutt
-1998,,Drama,4.2,18,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Deepti Bhatnagar
-1964,,Drama,6.5,30,Devi Sharma,Azra,Brahm Bhardwaj,Dharmendra
-1978,142 min,"Action, Drama",5.4,146,Sultan Ahmed,Amitabh Bachchan,Rekha,Amjad Khan
-1986,,Drama,,,Asha Lata,Ravindra Mahajani,Namita,Prema Narayan
-1981,,Action,,,Radhakant,Abhi Bhattacharya,Heena Kausar,Dev Kumar
-1997,146 min,Action,,,S.R. Pratap,Shagufta Ali,Laxmikant Berde,Ajinkya Deo
-1998,,Drama,,,Kamaal Narvi,,,
-1955,,,,,Chandrakant,Prem Adib,Sumitra Devi,Bipin Gupta
-1983,145 min,Drama,5.7,7,Shyam Ralhan,Vikas Anand,Birbal,Danny Denzongpa
-1978,,"Drama, Family, Fantasy",,,Ashish Kumar,Abhi Bhattacharya,Bela Bose,Trilok Kapoor
-1971,,Drama,4.9,11,Virendra Sinha,Navin Nischol,Yogeeta Bali,Nirupa Roy
-1988,,Action,4.8,25,Vijay Reddy,Dharmendra,Jaya Prada,Shatrughan Sinha
-1985,,Documentary,,,Muzaffar Ali,,,
-1988,187 min,"Action, Drama, Romance",4.6,581,Manmohan Desai,Amitabh Bachchan,Mithun Chakraborty,Jaya Prada
-2003,157 min,"Action, Crime, Drama",7.8,"16,172",Prakash Jha,Ajay Devgn,Gracy Singh,Mohan Joshi
-1937,134 min,,6.7,11,Madhukar Bavdekar,Dhundiraj Govind Phalke,Chitnis,Suresh Pardesi
,,Action,,,Rocky Khanna,Monica Dogra,Vivaan Shah,
-2002,,Action,4,11,Jitendra Chawda,Prithvi,Satnam Kaur,Durgesh Nandni
-2013,110 min,"Drama, Family",7.3,296,Priya Krishnaswamy,Sarita Joshi,Purab Kohli,Mita Vashisht
-2007,,"Action, Crime, Drama",5.8,33,Abhishek Chhadha,Amitabh Bachchan,Bhoomika Chawla,Manoj Tiwari
,,Crime,,,Kumar Neeraj,Rajesh Sharma,Kumud Mishra,Mukesh Tiwari
,,Comedy,,,Yogesh Shahu,Razak Khan,Mushtaq Khan,Shehzad Khan
-2021,,Comedy,,,Guru Savan,Sanjay Mishra,Rohit Gupta,
-2017,114 min,Thriller,,,Rupak Gogoi,Vivek Bora,Rewati Chetri,Fairy Priya Ahmed
-2012,321 min,"Action, Comedy, Crime",8.2,"86,355",Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui
-1994,,"Action, Drama, Thriller",5.1,59,Dev Anand,Mamta Kulkarni,Manu Gargi,Anita Ayoob
-2006,123 min,"Action, Crime, Drama",7.1,"5,645",Anurag Basu,Kangana Ranaut,Shiney Ahuja,Emraan Hashmi
-1962,,"Crime, Drama",,,Pramod Chakravorty,Sheikh Mukhtar,Chandrashekhar,Sulochana Latkar
-2021,,"Biography, Crime, Drama",,,Sanjay Leela Bhansali,Alia Bhatt,Ajay Devgn,Indira Tiwari
-1984,126 min,"Action, Drama",5.3,26,Rajasekhar,Rajinikanth,Shabana Azmi,Sarika
-1992,,Action,,,Kodi Ramakrishna,Giri Babu,Brahmanandam,Ashok Kumar K.
-2019,,Drama,,,Prem Soni,,,
-1970,,"Drama, Family, Musical",5.9,40,Naresh Kumar,Vyjayanthimala,Rajendra Kumar,Nishi
-1947,,,,,Dwarka Khosla,Tiwari,,
-2018,124 min,Drama,5.3,106,Gautam Singh,Shadab Kamal,Neha Mahajan,Dibyendu Bhattacharya
-1972,127 min,"Drama, Family, Romance",6.8,30,Naresh Kumar,Rajendra Kumar,Rekha,Sujit Kumar
-1945,,Drama,6.9,9,K. Amarnath,Noor Jehan,Durga Khote,Nazir
-1953,,Documentary,,,Harisadhan Dasgupta,,,
-1991,,Action,5.7,28,K.R. Reddy,Annu Kapoor,Rishi Kapoor,Vinod Khanna
-2005,102 min,Drama,4.5,30,Kanti Shah,Sapna Sappu,Imran,Tanveer
-1995,,Thriller,,,Sajith Bahaskar,Heera,,
-1955,129 min,Drama,7.3,15,Amar Kumar,Nirupa Roy,Jayant,Rashid Khan
-2004,142 min,Thriller,6,12,Chandni Gupta,Afsan,Shah Gayaz Khan,
-2002,89 min,Thriller,,,Bhavani,Arun Mathur,Anil Nagrath,Rohit Raj
-1990,101 min,Thriller,,,Dinesh Salgia,Anuradha,Chitra,Jayamalini
-1980,,Action,5.7,9,A. Salaam,Vinod Khanna,Sulakshana Pandit,Ajit
-1972,129 min,"Comedy, Musical, Action",5.8,68,Aspi Irani,Aruna Irani,Mehmood,Jeevan
-2005,146 min,Comedy,6.7,"14,431",Priyadarshan,Akshay Kumar,John Abraham,Paresh Rawal
-2006,,Drama,,,Kanti Shah,Arun Verma,Imran,Priti
-2003,,Thriller,,,,,,
-2018,105 min,"Drama, Thriller",3.4,950,Qaushiq Mukherjee,Tanmay Dhanania,Trimala Adhikari,Satarupa Das
-1981,,Drama,,,,,,
-1993,153 min,"Action, Crime, Drama",7.4,807,Priyadarshan,Jackie Shroff,Amrish Puri,Dimple Kapadia
-1942,152 min,,,,Ramchandra Thakur,Surendra,Rose,Veena
-1939,,,,,Kamlabai Gokhale,,,
-1934,,Drama,,,Keravala,Laxmi,,
-1936,,,,,Mohan Dayaram Bhavnani,Bibbo,,
-1949,,Musical,,,Geeta Bali,Usha Kiran,Nirupa Roy,
-1989,,Action,4.5,13,Ramesh Ahuja,Bhanupriya,Mithun Chakraborty,Uday Chandra
-2002,118 min,Thriller,,,Kishan Shah,Satnam Kaur,Anil Nagrath,Amit Pachori
-2009,,"Action, Crime, Drama",4.5,12,V.V. Ramana,Tottempudi Gopichand,Bhavana,Ashish Vidyarthi
-1974,146 min,Drama,8.1,689,M.S. Sathyu,Balraj Sahni,A.K. Hangal,Gita Siddharth
-1957,,"Adventure, Comedy",,,P.L. Santoshi,Agha,Nadira,Om Prakash
-2005,120 min,"Drama, Thriller",,,S.K. Prasad,Suchi Kumar,Rahul Manchanda,Trishna Pritam
-1957,,"Comedy, Crime, Drama",7.2,43,J. Om Prakash,Bharat Bhushan,Pradeep Kumar,Madhubala
-2011,90 min,Drama,7.3,398,Rajan Khosa,Naresh Sharma,Mohammad Samad,Jayanta Das
-1953,,Family,,,Bina Rai,Rehman,,
-1950,,Drama,,,Amiya Chakrabarty,Usha Kiran,Wasti,Anoop Kumar
-2014,125 min,Crime,7,64,Rajesh Hans,Karamaveer Chaudhary,Karamveer Choudhary,Vijay Jora
-2021,50 min,Comedy,7.5,226,Neville Shah,Gaurav Gupta,,
-1943,,,8.5,8,Kidar Nath Sharma,Monica Desai,Prithviraj Kapoor,Raj Kapoor
-1968,152 min,"Drama, Family",6.5,40,A. Bhimsingh,Sunil Dutt,Nutan,Sanjeev Kumar
-1956,,Fantasy,,,Vinod Desai,Abhi Bhattacharya,Yashodra Katju,Lalita Pawar
-1958,150 min,,,,Raja Nene,Jeevan,Trilok Kapoor,Sulochana Latkar
-2007,98 min,"Drama, Horror, Thriller",3.5,109,Aku Akbar,Mohan Azaad,Anupam Kher,Atul Kulkarni
-2016,124 min,Family,8.8,85,Ramkishan Choyal,Jahangir Khan,Vedshree Rao,Ila Arun
-1979,131 min,"Action, Crime, Drama",6,58,Subhash Ghai,Shashi Kapoor,Shatrughan Sinha,Moushumi Chatterjee
-2002,119 min,Action,2.7,11,Gautam Verma,Ishrat Ali,Mithun Chakraborty,Pinky Chinoy
-1967,,Documentary,7.4,9,Bimal Roy,,,
-1979,,Thriller,,,A. Salaam,Ajit,Hiralal,Kamal Kapoor
-1989,111 min,Mystery,5.6,36,Anant Balani,Zeenat Aman,Vikram Gokhale,Ashutosh Gowariker
-1954,,"Drama, Family, Musical",,,H.P. Sharma,Surendra,Sulochana Latkar,Jeevan
-2004,138 min,"Drama, Fantasy, Thriller",4.2,781,Prawaal Raman,Tusshar Kapoor,Antara Mali,Raghuvir Yadav
-1977,,Fantasy,,,Harsukh Jagneshwar Bhatt,Bharat Bhushan,Jayshree Gadkar,Ashish Kumar
-1936,,,,,Navinchandra,,,
-1944,,"Drama, Family",,,S.U. Sunny,Shahu Modak,Nirmala Devi,Amir Ali
-1970,,"Action, Crime, Musical",7.1,98,Ramanand Sagar,Rajendra Kumar,Mala Sinha,Nasir Hussain
-1992,151 min,Drama,5.9,56,Partho Ghosh,Avinash Wadhawan,Divya Bharti,Laxmikant Berde
-1968,,Romance,,,,,,
-1975,130 min,"Comedy, Drama, Family",6.9,108,Hiren Nag,Sachin Pilgaonkar,Sarika,Urmila Bhatt
-1964,,"Drama, Musical, Romance",6.4,92,Shantaram Rajaram Vankudre,Jeetendra,Rajshree,Bharathi
-1982,138 min,Drama,,,B.S. Thapa,Bindu,Arun Govil,Jeevan
-1947,,,,,David Abraham,,,
-1986,,Romance,,,Jyothi,Asha Sharma,Hari Shukla,Anjan Srivastav
-1992,,Romance,,,Qamar Haji Puri,Narendra Bedi,Mohan Choti,Dilip Dhawan
-1940,164 min,,,,Parshwanath Yeshwant Altekar,Chandra Mohan,Durga Khote,Anant Marathe
-1978,,Drama,,,,,,
-1988,,Action,,,Reetu Raaj,Rajni Bala,Hemant Birje,Jamuna
-2000,93 min,Action,,,R. Mittal,Rajesh Mittal,Ramesh Goyal,Goga Kapoor
-1974,,"Action, Drama, Thriller",6.9,57,Sadhana,Sunil Dutt,Sadhana,Feroz Khan
-1993,150 min,Drama,6,45,Shakti Samanta,Jeetendra,Rekha,Vijay Arora
-1954,,Drama,,,,,,
-1963,,"Crime, Drama, Romance",7.1,27,O.P. Ralhan,Rajendra Kumar,Mala Sinha,Madan Puri
-1996,,Horror,4.8,12,Ramesh Bedi,Salma Agha,Harbans Darshan M. Arora,Raj Babbar
-1971,,"Action, Mystery, Sci-Fi",,,Niranjan,Sheikh Mukhtar,Sujit Kumar,Sofia
-1981,,"Drama, Family",,,Deepak Bahry,Vinod Mehra,Ranjeeta Kaur,Amjad Khan
-1980,135 min,"Drama, Horror",6.8,148,Vikas Desai,Aruna Raje,Shreeram Lagoo,Anant Nag
-1973,147 min,"Action, Crime, Thriller",5.4,127,C.V. Sridhar,Jeetendra,Hema Malini,Amitabh Bachchan
-2005,,Thriller,,,,,,
,,,,,Sherlyn Chopra,,,
-2002,,Action,6.2,6,Venkatesh Daggubati,Kalabhavan Mani,Namitha,
-2002,150 min,"Action, Comedy, Crime",6.1,910,Saran,Vikram,Kiran Rathod,Kalabhavan Mani
-1986,105 min,Drama,6.7,113,Mrinal Sen,Shabana Azmi,Naseeruddin Shah,Om Puri
-2018,165 min,"Action, Thriller",5.3,"1,823",Anil Sharma,Utkarsh Sharma,Ishita Chauhan,Mithun Chakraborty
-1989,139 min,"Comedy, Crime, Musical",4.9,42,Vinod K. Verma,Govinda,Anuradha Patel,Shakti Kapoor
-1937,,,,,Ram Daryani,Leela Chitnis,,
-1960,,Action,,,A. Shamsheer,Kamran,Shyam Kumar,Naazi
-1985,167 min,"Action, Drama",6.1,435,Prayag Raj,Kamal Haasan,Poonam Dhillon,Madhavi
,,"Animation, Action, Adventure",,,Prashast Singh,Prashast Singh,,
-2000,,"Crime, Drama, Thriller",4.7,141,Akashdeep,Manoj Bajpayee,Tabu,Om Puri
-2002,,"Action, Crime, Drama",5.4,16,Kumar Jay,Pankaj Berry,Rahul Bhatt,Seema Biswas
-1989,,Horror,,,Kumar Bhatia,Dan Dhanoa,Satyendra Kapoor,Kiran Kumar
-2008,186 min,"Action, Drama, Mystery",7.3,"57,604",A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan
-2009,,Action,,,Vishwa Naidu,,,
-1943,,Drama,,,Master Vinayak,,,
-1955,,,,,Dharam Kumar,Raaj Kumar,Kamal Mehra,Murad
-1981,,Drama,4.8,13,Ramesh Bedi,Mithun Chakraborty,Chandrashekhar,Leena Das
-2008,141 min,Action,,,Dinesh Chaudhary,Rajender Kashyap,Uttar Kumar,Taanya
-2013,137 min,"Comedy, Crime, Thriller",5.8,"4,797",Raj Kumar Gupta,Emraan Hashmi,Vidya Balan,Rajesh Sharma
-2017,120 min,Comedy,,,Nirbhay Chaudhary,Nimai Bali,Shahbaaz Khan,Raghvendra Tiwari
-2020,111 min,Comedy,,,Dinesh Kunder,Naveen Chaturvedi,Nikita Chhabariya,Amanpreet Satija
-1978,121 min,"Drama, Romance",7,192,Manik Chatterjee,Gulzar,Vinod Mehra,Rekha
-1945,,,,,V.M. Vyas,Iftekhar,Nawab,
-1988,120 min,,,,Pawan Kuman,Sudhir Dalvi,Javed Khan,Neelam Mehra
-1993,,"Drama, Adventure, Action",4.7,13,Ravindra Peepat,Avinash Wadhawan,Varsha Usgaonkar,Bhagyashree
-1963,139 min,"Comedy, Drama",5.8,16,Kishore Sahu,Manoj Kumar,Sudesh Kumar,Randhir
-1998,130 min,"Action, Crime, Drama",4.4,10,D.S. Azad,Shekhar Suman,Natasha Shailendra,Sharmila Tagore
-2017,,Comedy,,,Lv Siva,Gullu Dada,Farukh Khan,Peerti Nigam
-1985,153 min,Drama,7.1,42,Kalpataru,Tanuja,Sachin Pilgaonkar,Raj Kiran
-1984,156 min,Drama,5.5,75,K. Bapaiah,Shashi Kapoor,Moushumi Chatterjee,Mithun Chakraborty
-1988,155 min,Drama,,,Chandrakant Sangani,,,
-1959,,"Drama, Family",,,Ravindra Dave,Azra,Minoo Mumtaz,Suresh
-1988,155 min,"Comedy, Drama",4.9,207,Kalpataru,Govinda,Farha Naaz,Rishi Kapoor
-1970,120 min,"Drama, Family",7.6,67,T. Prakash Rao,Balraj Sahni,Nirupa Roy,Bharathi
-1947,,"Drama, Family",,,Leela Chitnis,S.B. Nayampalli,,
-1955,,"Crime, Drama, Mystery",,,Gajanan Jagirdar,Gajanan Jagirdar,Shyama,Sajjan
-1958,,"Drama, Family",,,Gunjal,Balraj Sahni,Shanta Hublikar,Randhir
-2004,142 min,"Drama, Family",4,130,Mahesh Tillekar,Aishwarya Narkar,Sulabha Arya,Sajid Sheikh
-1990,155 min,Drama,6,360,Kalpataru,Anil Kapoor,Meenakshi Sheshadri,Raj Kiran
-1992,148 min,"Comedy, Family",5.8,25,Arun Bhatt,Rita Bhaduri,Birbal,Mithun Chakraborty
-1935,155 min,,,,Homi Master,Heera,Noor Jehan,Amoo
-1989,158 min,Drama,5.9,65,Sikander Bharti,Rajesh Khanna,Neelam Kothari,Chunky Panday
-1967,157 min,Drama,6.6,13,Jagdev Bhambri,Abhi Bhattacharya,Biswajit Chatterjee,Dharmendra
-1995,,Drama,,,Anamika,Rakesh Bedi,Suraj Chaddha,A.K. Hangal
-2018,,Comedy,,,Ranjan Mistry,Deep Jyoti,,
-1987,94 min,"Drama, Family",6.6,11,Kalpataru,Shoma Anand,Bharat Bhushan,Sudhir Dalvi
-1947,,,,,G.K. Devare,N.G. Devare,,
-1948,136 min,"Drama, Family",5.7,24,Ram Daryani,Mumtaz Shanti,Jeevan,Gope
-1994,,"Comedy, Drama",4.7,57,Kalpataru,Jeetendra,Rishi Kapoor,Anita Raj
-1979,,Drama,,,B.R. Ishara,Sanjeev Kumar,Moushumi Chatterjee,Kishore Jariwala
-1993,,,,,Kalpataru,,,
-1941,,,,,Jagdish Sethi,,,
-1960,,"Drama, Family",3.8,5,V.M. Vyas,Sohrab Modi,Feroz Khan,Nirupa Roy
-1931,,,,,Kanjibhai Rathod,Ghaznavi,Rampiary,
-1990,,,,,Kalpana Divan,Anand Raj,Rajshri,Kirti Rawal
-1940,161 min,,,,Master Vinayak,Master Vinayak,Meenaxi,Baburao Pendharkar
-1944,,,,,Harshadrai Sakerlal Mehta,Ramesh Saigal,,
-2001,,Comedy,,,Sanjeevani Gupta,Anil Nagrath,Amit Pachori,Aman Sagar
-1996,,Comedy,5.3,12,Venkatesh Daggubati,Soundarya,Vineetha,
-1988,136 min,"Drama, Family, Action",4.7,43,Subhash Sonik,Beena Banerjee,Rita Bhaduri,Govinda
-2009,,"Drama, Musical",,,Vimal Reddy,Duong Do,Pritash Dutt,Anila Kumar
-1991,,Drama,4.9,38,Mohanji Prasad,Rajesh Khanna,Rishi Kapoor,Raj Kiran
-2021,72 min,Drama,7.6,43,Neshu Saluja,Saurabh Goyal,Priyanka Sonawane Hedau,
-1986,,"Comedy, Drama",5.2,64,K. Bapaiah,Jeetendra,Sridevi,Kader Khan
-1942,,,,,V.M. Vyas,Sardar Akhtar,Jehanara Kajjan,Zahoor Shah
-1958,,"Drama, Family",6.8,21,V.M. Vyas,Balraj Sahni,Nargis,Rajendra Kumar
-2000,,Drama,,,Salim Padiyath,,,
-1961,154 min,"Comedy, Drama, Family",7.1,53,S.S. Vasan,Rajendra Kumar,Raaj Kumar,Bipin Gupta
-1989,,Drama,5.3,70,K. Ravi Shankar,Shreeram Lagoo,Tanuja,Rishi Kapoor
-1977,141 min,"Drama, Romance",6.9,196,Bhimsain,Amol Palekar,Zarina Wahab,Sadhu Meher
-1953,,,,,Dinkar D. Patil,,,
-1973,,Drama,,,Anita Guha,Padma Khanna,Murad,Narendra Nath
-1998,138 min,Comedy,4.6,640,David Dhawan,Anil Kapoor,Raveena Tandon,Rambha
-1988,,Family,4.3,9,Sripathi Panditharadhyula Rajaram,Farooq Shaikh,Anuradha Patel,Kim
-1976,108 min,"Biography, History",6.7,71,K. Hariharan,Mani Kaul,Saeed Akhtar Mirza,Kamal Swaroop
-2017,68 min,Documentary,7.8,9,Akash Shukla,,,
-2007,100 min,Horror,,,Wilson Louis,Zachary Coffin,Nilesh Divekar,Elena
-1996,158 min,"Action, Drama",7.4,"3,326",Rajkumar Santoshi,Sunny Deol,Meenakshi Sheshadri,Danny Denzongpa
-1974,,Thriller,,,Mahesh Shandilya,Danny Denzongpa,Jankidas,Anjali Kadam
-2008,91 min,"Animation, Family",6.9,55,Singeetam Srinivasa Rao,Sunidhi Chauhan,Shreya Ghoshal,Mahalakshmi Iyer
-1995,,"Comedy, Drama, Fantasy",7,100,S.V. Krishna Reddy,Ranga Rao Kurra,Satyanarayana Kaikala,Roja
-1951,156 min,Drama,,,Ramchandra Thakur,Geeta Bali,Sulochana Chatterjee,Nand Kishore
-1990,163 min,"Action, Crime, Drama",7.6,"4,114",Rajkumar Santoshi,Sunny Deol,Amrish Puri,Meenakshi Sheshadri
-2016,127 min,"Action, Crime, Drama",6.3,"4,960",Sunny Deol,Sunny Deol,Soha Ali Khan,Om Puri
-1988,,"Action, Crime, Thriller",5.4,11,K. Bapaiah,Aruna,Jayanthi,Satyanarayana Kaikala
-1982,162 min,"Action, Comedy, Drama",6.8,137,C.P. Dixit,Seema Deo,Dharmendra,Krishan Dhawan
-1992,144 min,"Comedy, Romance",5.4,27,Ranjeet,Rahul Roy,Anu Agrawal,Tanuja
-1985,,Drama,,,Rehman Naushad,Shoma Anand,Sunil Dhawan,Iftekhar
-2002,,Action,,,Uday Kiran,Anita Hassanandani Reddy,Ashish Vidyarthi,
-2019,105 min,"History, Romance",9.4,47,Munni Pankaj,Nishi Neha Mishra,Pankaj Kamal,Akash Kumar
-2020,108 min,Comedy,5.5,"2,708",Pushpendra Nath Misra,Nawazuddin Siddiqui,Ragini Khanna,Richa Chadha
-1997,120 min,"Action, Comedy, Drama",5.4,27,Chinni Prakash,Inder Kumar,Ayesha Jhulka,Arun Bakshi
-2012,118 min,Horror,2.3,225,Puja Bedi,Shiney Ahuja,Sayali Bhagat,Julia Bliss
-2019,130 min,"Horror, Thriller",5,"1,288",Vikram Bhatt,Sanaya Irani,Shivam Bhaargava,Vikram Bhatt
-2020,144 min,"Horror, Thriller",4.3,"4,620",Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap
-2020,,Horror,8.4,8,Zubair Khan,Farrah Kader,Samidha Kiran,Aabid Shamim
-2022,,"Crime, Mystery",,,Swaminathan Sridhar,Vijay Kumar,Vivek Pandey,Jitendra Rana
-1998,162 min,"Action, Crime, Drama",7.3,"10,997",Vikram Bhatt,Aamir Khan,Rani Mukerji,Rajit Kapoor
-1973,123 min,"Drama, Family",6.2,8,Jambulingam,Shatrughan Sinha,Anil Dhawan,Moushumi Chatterjee
-1956,124 min,"Drama, History",6.6,5,Jugal Kishore,Daljeet,Malika,Nishi
-1997,162 min,"Action, Crime, Drama",6.6,"1,120",Partho Ghosh,Nana Patekar,Raveena Tandon,Paresh Rawal
-1985,199 min,"Action, Drama",7.2,474,J.P. Dutta,Dharmendra,Mithun Chakraborty,Naseeruddin Shah
-1945,,,,,Mohan Wadhwani,David Abraham,Mumtaz Begum,Renuka Devi
-1960,,"Drama, Family",6.7,27,Ramanand Sagar,Pradeep Kumar,Bina Rai,Bharat Bhushan
-1946,,,,,Arun,Nirmala Devi,Leela Mishra,
-1938,,,,,Kanjibhai Rathod,Ansuya,,
-1952,,Drama,,,Hiren Bose,Om Prakash,K.N. Singh,
-1983,,"Drama, Family",5.7,47,Ram P. Sethi,Smita Patil,Shashi Kapoor,Kunal Goswami
-1981,138 min,"Mystery, Thriller",6.3,34,Shyam Ramsay,Tulsi Ramsay,Vijay Anand,Rekha
-2007,126 min,Horror,4.9,51,Shyam Ramsay,Aryan Vaid,Tarun Arora,Pooja Bharti
-1984,103 min,Drama,6.8,64,T.S. Ranga,Om Puri,Smita Patil,Nana Patekar
-2005,,Comedy,,,Pankaj Parashar,Mukesh Ahuja,Mreenal Deshraj,Abbas Khandwala
-2017,,Horror,,,Vijay Kumar,,,
-1976,,"Comedy, Drama, Family",7.3,84,Mehmood,Mehmood,Baby Ginni,Amjad Khan
-2020,125 min,"Comedy, Drama, Romance",5.7,"3,872",Puneet Khanna,Yami Gautam,Vikrant Massey,Ayesha Raza
-2013,95 min,"Comedy, Drama",5.6,790,Sonam Nair,Acchui,Anjali,Faraz Ansari
-2016,,"Drama, Thriller",,,Kavi Raz,Alberto Lee,Consuelo Vega,John Idakitis
-1992,,Thriller,,,S.U. Syed,Shagufta Ali,Hemant Birje,Mukesh Khanna
-1991,,Action,5.4,10,Priyadarshan,Amala Akkineni,Nagarjuna Akkineni,Sharat Saxena
-1949,,,,,Prafulla Roy,Arunadan,Arun Das,Kamala Jharia
-1947,,,,,,,,
-1960,,Romance,7.7,6,Satyen Bose,Kishore Kumar,Waheeda Rehman,Nasir Hussain
-2007,,Romance,,,Vishwa Naidu,,,
-2004,126 min,Drama,3.2,344,Karan Razdan,Isha Koppikar,Aashish Chaudhary,Amrita Arora
-1962,,Drama,4.4,9,Ravindra Dave,Ajit,Nalini Jaywant,Johnny Walker
-1949,154 min,,,,Amiya Chakrabarty,Geeta Bali,Mangla,Sajjan
-2000,123 min,Crime,2.1,23,Rakesh Bedi,Kishore Anand Bhanushali,Dolly Bindra,Poonam Dasgupta
-2020,,Documentary,,,Devendra Chaudhary,Ranjan Mistry,Ambuj Prasoon,
-2016,120 min,Thriller,5.6,184,Manoj Shidheshwari Tiwari,Pankaj Tripathi,Sandeepa Dhar,Abhimanyu Singh
-2007,110 min,"Crime, Drama, Romance",2.7,144,Manish Srivastav,Gautam Gupta,Priyanka Kothari,Kay Kay Menon
-2013,111 min,"Action, Adventure, Comedy",6.7,"11,942",Krishna D.K.,Raj Nidimoru,Saif Ali Khan,Kunal Khemu
,,"Action, Adventure, Comedy",,,Krishna D.K.,Raj Nidimoru,Saif Ali Khan,Radhika Madan
